Make,Model,Vehicle Type,Vehicle Type NEW
HONDA,CRF1000D,MOTORCYCLE,Motorcycle
HONDA,CRF250L,MOTORCYCLE,Motorcycle
HONDA,CB500X,MOTORCYCLE,Motorcycle
HONDA,CRF1100D,MOTORCYCLE,Motorcycle
YAMAHA,XVZ13AT ROYAL STAR TOUR CLASSIC,MOTORCYCLE,Motorcycle
YAMAHA,XVZ13CT ROYAL STAR TOUR DELUXE,MOTORCYCLE,Motorcycle
JEEP,WAGONEER L,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,CBR300R,MOTORCYCLE,Motorcycle
HONDA,CRF1000A,MOTORCYCLE,Motorcycle
HONDA,CRF1000LA,MOTORCYCLE,Motorcycle
HONDA,CRF1000D2,MOTORCYCLE,Motorcycle
HONDA,CB500F,MOTORCYCLE,Motorcycle
HONDA,CRF230L,MOTORCYCLE,Motorcycle
