Make,Model,Vehicle Type
DODG,RAM 5500,Single Unit Long-haul Truck
GMC,R35 CONVENTIONAL,Single Unit Long-haul Truck
TURTL,BUS,Other Buses
CHEV,UPLANDER,Passenger Car
GARIA,GARIA,Passenger Car
WORKHORSE,P42,Light Commercial Truck
CHEV,R3500,Light Commercial Truck
CHEV,SILVERADO3500,Combination Long-haul Truck
DODG,FB,Other Buses
GMC,SAFARI,Light Commercial Truck
C/K 2500,UTILITY BED,Light Commercial Truck
CHEV,BUS,Other Buses
CHEV,EXPRESS CUTAWAY,Other Buses
DODG,B3VAN,Other Buses
GMC,SAFARI,Light Commercial Truck
MERZ,SPRINTER,Light Commercial Truck
CHEV,EXPRESS,Other Buses
ISUZU,HOMBRE,Light Commercial Truck
NISSAN,NV,BUS
CHEV,VENTURE,Passenger Truck
DODG,3500,Combination Short-haul Truck
DODG,VAN,Other Buses
GMC,SAVANA,Other Buses
KOUNTRY LITE,KOUNTRY LITE TRAILER,Other Buses
DODG,RAMSW,Light Commercial Truck
RAM,2500,Combination Short-haul Truck
CHEV,GMT400,Combination Short-haul Truck
GMC,CUTAWAY VAN,Other Buses
GMC,W4500,Combination Short-haul Truck
MOTOR COACH INDUSTRIES,TRANSIT BUS,Transit Bus
BLUE BIRD,TC2000,School Bus
CHEV,C1500,Combination Short-haul Truck
INTERNATIONAL,3000IC,Transit Bus
CHEV,C3500,Combination Short-haul Truck
CHEVROLET,R CONVENTIONAL,Combination Short-haul Truck
FORD,SCHBUS,School Bus
FORD,STARTRANS,School Bus
MAZDA,PU,Light Commercial Truck
CHEV,3500,Combination Short-haul Truck
CHEV,C350,Combination Short-haul Truck
CHEV,FB,Other Buses
CHEV,G30,Other Buses
CHEV,P30,Other Buses
CHEV,S10,Light Commercial Truck
ISUZU,TROOPER,Light Commercial Truck
SUZUKI,SIDEKICK,Passenger Truck
BLUI,BUS,Other Buses
MERC,GRAND MARQUIS,Passenger Car
CHEV,1500,Combination Short-haul Truck
DODGE,D50,Light Commercial Truck
MERZ,METRIS,Light Commercial Truck
FORD,F-100,Combination Short-haul Truck
HUMMER,H3T,Combination Short-haul Truck
ELKC,MINI BUS,Transit Bus
FORD,F35,Combination Short-haul Truck
FORD,F450 SD,Combination Short-haul Truck
CHEV,SC3,Other Buses
REVGP,BUS,Passenger Car
CADI,PROFESSIONAL CHASSIS,Passenger Truck
ISU,NQR,Light Commercial Truck
TOYOTA,4WD,Passenger Truck
FORD,F-450, Light Commercial Truck
GMC,C3500,Passenger Truck
OSHK,P600,Combination Short-haul Truck
CHEV,SILVERAD,Passenger Truck
FORD,E150,Passenger Truck
CHEV,2500,Passenger Truck
FREIGHTLINER,SPRINTER,BUS
GMC,RALLY,BUS
GMC,TYPHOON,Passenger Truck
CHEV,V30,Passenger Truck
DODG,RAM 2500,Light Commercial Truck
FORD,LN8000,Single Unit Long-haul Truck
FRRV,STARCRAFT ALLSTAR,Other Buses
ISU,NPR,Light Commercial Truck
FORD,CUTAWAY,Light Commercial Truck
FORD,X3FU,Passenger Truck
CHEV,G20 VAN,Light Commercial Truck
CHEVROLET,MILITARY TRUCK,Light Commercial Truck
FORD,F350 UTILITY,Passenger Truck
FORD,F53,Passenger Truck
GMC,SUBURBAN,Passenger Truck
GMC,V CONVENTIONAL,Light Commercial Truck
CHEV,G3500 VAN,Light Commercial Truck
FORD,BUS,Other Buses
GMC,C5500,Light Commercial Truck
ISU,FLTBED,Light Commercial Truck
THOMAS BUILT,HDX,School Bus
DODGE,CARAVAN,Passenger Truck
BUIC,TERRAZA,Passenger Truck
DODG,RAM,Passenger Truck
RAM,PROMASTER 3500,Light Commercial Truck
FREIGHTLINER,SPRINTER,Light Commercial Truck
GMC,SYCLONE,Passenger Truck
SETRA,S 417,Transit Bus
AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,Light Commercial Truck
CADI,HEARSE,Other Buses
MIFU,FE,Motor Home
TOYOTA,4RUN,Passenger Truck 
DODG,D-350,Passenger Truck 
DODGE,RAMPAGE,Passenger Truck 
TOYOTA,VAN,Passenger Truck 
CHEV,SILVERADO 3500,Light Commercial Truck
CHEV,STARTRANS,Other Buses
DODG,RAM VAN 2500,Light Commercial Truck
FORD,E-100,Light Commercial Truck
MAZDA,MAZPU,TRUCK
FORD,E-250,Transit Bus
THMS,SAF-T-LINER CS,School Bus
TOYOTA,TUNPU,Passenger Truck
GMC,NEW SIERRA 3500,Passenger Truck
INTL,3000,Light Commercial Truck
GMC,K3500,Passenger Truck
DODG,350,Passenger Truck
ISUZU,I-370,Passenger Truck
CADI,LIMOUSINE,Passenger Car
MERC,MARAUDER,Passenger Car
MITS,FB,Other Buses
GMC,SIERRA 3500,Passenger Truck
GMC,W3500,Light Commercial Truck
EAGLE TRAILER MANUFACTURING,EAGLE TRAILER MANUFACTURING,Other Buses
FORD,E350,Light Commercial Truck
"WESTERN RECREATIONAL VEHICLES, INC.",R/R LINE MOTORHOME,Motor Home
ISUZU,AMIGO,Passenger Truck
ISUZU,TROOPER II,Passenger Truck
DODG,D3PU,Passenger Truck
GEO,TRACKER,Passenger Truck
CHEV,TILT MASTER W4S042,Light Commercial Truck
CADI,COMMERCIAL CHASSIS,Light Commercial Truck
CADI,XTS,Passenger Car
FORD,F350 SUPER DUTY,Passenger Truck
GMC,SIERRA 1500,Passenger Truck
SUBARU,BRAT,Passenger Truck
DODGE,SPRINTER,BUS
GMC,G3500,Light Commercial Truck
TOYOTA,LAND CRUISER,Passenger Truck
DODG,VAN CON,Passenger Truck
FORD,CLUB WAGON,Passenger Truck
FORD,MIRANDA CLASS A,Motor Home
DODG,CARAVAN,Passenger Truck
GMC,CARGO, Light Commercial Truck
DODG,B2VAN,Passenger Truck
CHEV,C20,Passenger Truck
DODG,RAM 4500,Passenger Truck
DODG,VAB25,Passenger Truck
FORD,F800,Light Commercial Truck
JEEP,J-10,Passenger Truck
GMC,3500,Passenger Truck
CHEV,CK31053,Light Commercial Truck
FORD,FLATBED,Light Commercial Truck
FORD,F3D,Light Commercial Truck
DODG,GRAND CARAVAN,Passenger Truck
FORD,TRANSIT-350 WAGON,Passenger Truck
GMC,4000,Light Commercial Truck
ISUZU,BOX,Light Commercial Truck
CHEV,VANCONVERSION,Passenger Truck
COBRA INDUSTRIES,CHEROKEE,Passenger Truck
DODG,VANCON,Light Commercial Truck
DODG,D SERIES,Light Commercial Truck
CHEV,KODIAK C4500,Light Commercial Truck
BLUE BIRD,ALL AMERICAN / ALL CANADA,Other Buses
CHEV,EXPRESS G3500 CUBE VAN,Light Commercial Truck
FORD,B2VC1611,Light Commercial Truck
FORD,F5PU,Light Commercial Truck
GMC,SIERRA  SK3 C/K 3500,Light Commercial Truck
THMC,29/MH,Motor Home
THMS,SAF-T-LINER C2,Other Buses
CHEV,PICKUP,Passenger Truck
CHEV,G30 EXTENDED,Passenger Truck
THMS,SCHOOL BUS,School Bus
CHEV,C2PU,Passenger Truck
MAZDA,B2600,Light Commercial Truck
CHEV,SIL,Passenger Truck
CHEV,TILT MASTER W5S042,Light Commercial Truck
GMC,VAN,Light Commercial Truck
ISU,FLAT BED,Light Commercial Truck
TOYOTA,CARGO VAN,Light Commercial Truck
CHEV,K20,Light Commercial Truck
FORD,E450,Light Commercial Truck
GMC,R3500,Light Commercial Truck
SHOOK MOBILE TECHNOLOGY,SHOOK MOBILE TECHNOLOGY,Other Buses
FORD,SERVICE BED,Light Commercial Truck
INTER,BUS,Other Buses
MIFU,FB,Other Buses
NDMC,UD1800,Light Commercial Truck
CHEVROLET,EXPRESS 2500,Light Commercial Truck
FORD,F4PU,Light Commercial Truck
GMC,VALUE VAN,Light Commercial Truck
FORD,TRUCK,Passenger Truck
MONAC,KNIGHT,Motor Home
MACK,DM,Combination Long-haul Truck
DODGE,DAKOTA,BUS
MEDIX,AMBULANCE,INCOMPLETE VEHICLE
CHEVROLET,LUV,Passenger Truck
DODGE,RAIDER,Passenger Truck
ISUZU,I-290,Passenger Truck
CHEV,TILT MASTER W35042,Light Commercial Truck
CHEV,K30,Light Commercial Truck
DODG,CAB/CHAS,Light Commercial Truck
DODG,W3PU,Passenger Truck
MAZDA,B4000,Light Commercial Truck
FORD,WINDSTAR,TRUCK
GMC,5500,Light Commercial Truck
INTL,3800,Other Buses
WINN,BM170A,Motor Home
CHEV,P30VAN,Other Buses
FORD,TRANSIT 350,Light Commercial Truck
GMC,FB,Passenger Truck
CHEV,K2500,Light Commercial Truck
CHEV,SERVICE,Other Buses
FORD,SERVICE,Other Buses
CHEV,V3500,Light Commercial Truck
CHEV,K3500,Light Commercial Truck
ISU,NRR,Light Commercial Truck
ITAS,40/MH,Motor Home
CHEVR,CAMPVAN,Motor Home
CHEV,COLLINS,Other Buses
FORD,FOREST RIVER ELKHART COACH,Other Buses
FELLING TRAILERS,FELLING TRAILERS,TRAILER
TOYOTA,4RUNNER,TRUCK
CHEV,CK3500,Light Commercial Truck
FORD,GLAVAL,Other Buses
GMC,G/EX,INCOMPLETE VEHICLE
VAN HOOL,TOURIST COACH,Other Buses
DODG,FLATBED,Light Commercial Truck
LINCOLN,BLACKWOOD,Passenger Truck
CHEV,COLORADO,Light Commercial Truck
DODG,VANPOOL,Other Buses
SETRA,"S 215 HDH, S217 HDH",Transit Bus
GMC,SIERRA 350,Light Commercial Truck
CHEV,C7500,Light Commercial Truck
FORD,F350 XLT,Light Commercial Truck
DODG,3500REGC,Passenger Truck
DODGE,D1PU,Passenger Truck
RAM,3500 BIG,Passenger Truck
OAK CREEK HOMES,TACOMA,Other Buses
FORD,UTILITY BOX,Light Commercial Truck
MITSUBISHI,SPX,TRUCK
CADI,DEVILLE,Passenger Car
CHEV,R35,Light Commercial Truck
FORD,F450 SERVICE BOX,Light Commercial Truck
GMC,CANYON,Passenger Truck
IC BUS,PB105,Transit Bus
MICB,G5 SCHOOL BUS,School Bus
MOTOR COACH INDUSTRIES,102EL3 INTERCITY/E4500,Other Buses
FORD,32MH,Motor Home
FORD,ECONOLIE,Light Commercial Truck
TOYOTA,PU,Passenger Truck
CHEV,B1VC1400,Light Commercial Truck
FORD,TRANSIT 250 VAN,Light Commercial Truck
ELKC,BUS,Other Buses
VAN HOOL,COMMUTER COACH,Other Buses
CHEV,GOSHEN,Other Buses
FORD,F-350,Passenger Truck
INTL,BUS,Other Buses
FORD,F600,Light Commercial Truck
CHEV,GMC 3500,Passenger Truck
FORD,CROWN VICTORIA,Passenger Car
FORD,F3PU,Passenger Truck
GILLIG,CITY TRANSIT BUS,Other Buses
DODG,3500 VAN,Light Commercial Truck
DODG,CONV VAN,Light Commercial Truck
CHEV,EXPRESS G4500,Light Commercial Truck
DODG,D-SERIES,Light Commercial Truck
DODG,RAM 1500,Passenger Truck
FORD,ELKHART,Other Buses
FORD,UTIL,Other Buses
FORD,E350 BUS,Other Buses
CHEV,EXPRESS G2500,Light Commercial Truck
FORD,23/MH,Other Buses
CHEV,3500 BUS,Other Buses
THMC,AXIS 24.1,Motor Home
FORD,BOX TRUCK,Light Commercial Truck
GMC,CABALLERO,Passenger Truck
GMC,G3500 VENDURA,Light Commercial Truck
ISU,VAN,Light Commercial Truck
TIOG,29MHC,Motor Home
CHEV,23/D,Other Buses
DODG,RAM3P,Passenger Truck
FORD,DIAMOND,Other Buses
DODG,2500,Passenger Truck
FRHT,SCBUS,School Bus
GMC,V35,Light Commercial Truck
DODG,V25,Light Commercial Truck
CHEV,DUMP,Light Commercial Truck
FORD,VANPOOL,Light Commercial Truck
ISU,NPREFI,Light Commercial Truck
CADI,STATESMAN,Passenger Car
CHEV,G3500 BOX,Light Commercial Truck
CHEV,K10PU,Passenger Truck
FORD,ECONO,Light Commercial Truck
CHEVROLET,BLAZER,Passenger Truck
GMC,SIERRA 2500,Passenger Truck
FRHT,SPRINTER,Light Commercial Truck
DODG,RAM2500,Passenger Truck
CHEV,FLATBED,Light Commercial Truck
FORD,F450 S/C XL,Light Commercial Truck
CHEV,G10VAN,Light Commercial Truck
E-SUV,PATRIOT,Passenger Car
FORD,ELDORADO,Other Buses
FORD,VAN,Light Commercial Truck
MOTOR COACH INDUSTRIES,102D3 INTERCITY/D4000,Other Buses
DODG,SPRNT350,Light Commercial Truck
FORD,FLAT BED,Light Commercial Truck
FORD,PICK UP,Light Commercial Truck
IC BUS,PC505,Other Buses
CHEV,C5500,Light Commercial Truck
CHEV,GRUMMAN,Other Buses
UTILIMASTER MOTOR CORPORATION,AEROMATE,Light Commercial Truck
NISSA,UD1400,Light Commercial Truck
DODG,B2500VAN,Light Commercial Truck
FORD,F SUPER DUTY,Combination Long-haul Truck
RAM,CHASSIS,Combination Long-haul Truck
FORD,SUPER DUTY F-350,Combination Long-haul Truck
GMC,SIERRA 2500HD,Single Unit Short-haul Truck
CHEVROLET,S10PU,Light Commercial Truck
GMC,S TRUCK,Light Commercial Truck
ISUZU,I-350,Light Commercial Truck
CHEV,GC3,Passenger Car
MIFU,VAN,Light Commercial Truck
NDMC,UD1200,Light Commercial Truck
HUMMER,H3,Passenger Truck
OLDS,ALERO,Passenger Car
INTL,4000,Single Unit Long-haul Truck
FORD,OTHER BUS,Other Buses
FORD,E-250 CARGO,Light Commercial Truck
WHITEGMC,WIA,Single Unit Long-haul Truck
CHEV,G-P,Passenger Truck
THOMAS BUILT,BUS,School Bus
NISS,240SX,Passenger Car
CHEV,CHEYENNE,Light Commercial Truck
CHAMP,BUS,School Bus
COLL,BUS,School Bus
DODG,RAM 350,Light Commercial Truck
AUTOCAR,1340,Single Unit Long-haul Truck
CHEV,SERVICE TRUCK,Light Commercial Truck
FORD,ECONLINE,Light Commercial Truck
