Record Type,Make,Body Type
VEH,IMPE,4DSD
VEH,BROCK,FIRE
VEH,PLYM,PICK
VEH,JEEP,PICK
VEH,SUZUK,MOPD
VEH,JPOUT,ATV
VEH,BROCK,DUMP
VEH,FIAT,4DSD
VEH,ROVER,2DSD
VEH,IN/RA,RBM
VEH,HUSTL,TRAC
VEH,LEEBO,RBM
VEH,ROSCO,R/RD
VEH,SUPER,RD/S
VEH,LEEBO,R/RD
VEH,VOLK,VAN
VEH,TENNA,P/SH
VEH,LA/RO,PICK
VEH,PORSC,CONV
VEH,PORS,CONV
VEH,BROCK,FLAT
VEH,SWEEP,RD/S
VEH,JO/DE,TRAC
VEH,HIGHL,BOAT
VEH,MI/MI,2DSD
VEH,POR,2DSD
VEH,PORCH,CONV
VEH,PORSH,CONV
VEH,PARS,2DSD
VEH,CASE,UTIL
VEH,LAND,SUBN
VEH,PORCS,2DSD
VEH,VOLKS,2DSD
VEH,COMUT,2DSD
VEH,JAGUA,2DSD
VEH,EVA,4DSD
VEH,FLEX,H/WH
VEH,NASH,4DSD
VEH,STUDE,CONV
VEH,MAULD,RBM
VEH,INDIA,MCY
VEH,WILLY,4DSD
VEH,PRSCH,2DSD
VEH,PORSC,4DSD
VEH,KENWO,TANK
VEH,WARDL,FIRE
VEH,BROCK,TANK
VEH,LASAL,4DSD
VEH,FLEX,BUS
VEH,KOMAT,P/SH
VEH,SAAB,4DSD
VEH,INTER,2DSD
VEH,CITRO,4DSD
VEH,PLMOU,4DSD
VEH,RANGE,SUBN
VEH,BROCE,RBM
VEH,BA/GR,RBM
VEH,GR/MF,TOW
VEH,TORO,TRAC
VEH,ME/BE,2DSD
VEH,BOMBA,SN/P
VEH,GEHL,P/SH
VEH,HYPAC,R/RD
VEH,PETER,PICK
VEH,SHIPM,UTIL
VEH,KENWO,TRAC
VEH,BLUEB,H/WH
VEH,BOMAG,RBM
VEH,PRINO,SN/P
VEH,PRINO,TRAC
VEH,OTHER,P/SH
VEH,PRINO,P/SH
VEH,CATER,TRAC
VEH,CAMOP,TRAC
VEH,CAMOP,P/SH
VEH,BOMBA,P/SH
VEH,BOMBD,SN/P
VEH,BOMBA,TRAC
VEH,CITRO,2DSD
VEH,FI/AL,RBM
VEH,REX,R/RD
VEH,KAWAS,P/SH
VEH,READ,RBM
VEH,MERC,CONV
VEH,LINC,2DSD
VEH,LINCO,CONV
VEH,LINCO,SEDN
VEH,LINCO,4DSD
VEH,CATER,EMVR
VEH,CHEVR,SUBN
VEH,DECEL,MCY
VEH,FIATA,P/SH
VEH,AUTOC,DUMP
VEH,GALIO,RBM
VEH,GALIO,R/RD
VEH,REX,RBM
VEH,FORD,S/SP
VEH,FORD,TRAC
VEH,AMC,2DSD
VEH,MORRI,4DSD
VEH,MORRI,2DSD
VEH,CHEVR,STAK
VEH,CHEVR,FIRE
VEH,LINKB,TR/C
VEH,LI/BE,T/CR
VEH,LINK,T/CR
VEH,LINBE,T/CR
VEH,SUZUK,ATV
VEH,CHEVY,PICK
VEH,NISSA,SWT
VEH,CHEVY,2DSD
VEH,CHEV,PICK
VEH,MERC,2DSD
VEH,FORD,UTIL
VEH,HA/HD,MCY
VEH,MERC,SEDN
VEH,SHELB,CONV
VEH,SHELB,2DSD
VEH,SHEB,2DSD
VEH,YAMAH,MCY
VEH,VANTA,PICK
VEH,LINC,4DSD
VEH,CHEV,SUBN
VEH,CHEV,2DSD
