Record Type,Make,Body Type,Vehicle Category
VEH,CHEV,SEDN,Single Unit Long-haul Truck
VEH,CHEVE,2DSD,Other Buses
VEH,BRIST,2DSD,Other Buses
VEH,DAIML,4DSD,Combination Long-haul Truck
VEH,ME/BE,FLAT,Combination Short-haul Truck
VEH,VELOC,MCY,Motorcycle
VEH,PETER,SEMI,Passenger Truck
VEH,TRADA,T/CR,Single Unit Short-haul Truck
VEH,WORK,SWT,Single Unit Long-haul Truck
VEH,BC/BR,RBM,Single Unit Short-haul Truck
VEH,MERCE,VAN,Motor Home
VEH,MERC,PICK,Passenger Truck
VEH,LAVAL,CONV,Light Commercial Truck
VEH,TORO,T/CR,Single Unit Short-haul Truck
VEH,YANMA,P/SH,Motor Home
VEH,INTL,TR/E,Transit Bus
VEH,BR/BR,RD/S,School Bus
VEH,BROCE,UTIL,Transit Bus
VEH,MARCO,2DSD,Other Buses
VEH,COMP,MCY,Motorcycle
VEH,PRINZ,2DSD,Other Buses
VEH,CROSL,CONV,Light Commercial Truck
VEH,TORO,S/SP,Combination Short-haul Truck
VEH,TOTO,DUMP,School Bus
VEH,CROSL,PICK,Passenger Truck
VEH,AMERI,SUBN,Combination Short-haul Truck
VEH,PLYM,SUBN,Combination Short-haul Truck
VEH,FRHT,FIRE,Light Commercial Truck
VEH,FREIG,FIRE,Light Commercial Truck
VEH,LA/FR,FIRE,Light Commercial Truck
VEH,FREIG,TANK,Other Buses
VEH,LAFR,UTIL,Transit Bus
VEH,BUIC,CUST,School Bus
VEH,THUND,CONV,Light Commercial Truck
VEH,FRST,H/WH,Motor Home
VEH,FORDS,SUBN,Combination Short-haul Truck
VEH,AM/EA,MCY,Motorcycle
VEH,PLOAR,ATV,Refuse Truck
VEH,POLA,ATV,Refuse Truck
VEH,POLS,ATV,Refuse Truck
VEH,POALR,ATV,Refuse Truck
VEH,POLSR,ATV,Refuse Truck
VEH,POLIS,ATV,Refuse Truck
VEH,POLOR,ATV,Refuse Truck
VEH,PLLAR,ATV,Refuse Truck
VEH,POLAT,ATV,Refuse Truck
VEH,POLAS,ATV,Refuse Truck
VEH,SK/DO,ATV,Refuse Truck
VEH,POLAN,ATV,Refuse Truck
VEH,POLR,ATV,Refuse Truck
VEH,POLAI,ATV,Refuse Truck
VEH,GR,ATV,Refuse Truck
VEH,POARI,ATV,Refuse Truck
VEH,POPLA,ATV,Refuse Truck
VEH,PLAR,ATV,Refuse Truck
VEH,POL,ATV,Refuse Truck
VEH,POLAE,ATV,Refuse Truck
VEH,POLRI,ATV,Refuse Truck
VEH,POSAR,ATV,Refuse Truck
VEH,BL,ATV,Refuse Truck
VEH,POLAR,SWT,Single Unit Long-haul Truck
VEH,POLAR,DUMP,School Bus
VEH,POLAR,UTIL,Transit Bus
VEH,POLAR,S/SP,Combination Short-haul Truck
VEH,POILA,ATV,Refuse Truck
VEH,CA/AM,ATV,Refuse Truck
VEH,POLRA,ATV,Refuse Truck
VEH,POLRS,ATV,Refuse Truck
VEH,POLST,ATV,Refuse Truck
VEH,SPORT,ATV,Refuse Truck
VEH,PLOLR,ATV,Refuse Truck
VEH,PLRI,ATV,Refuse Truck
VEH,MAGN,ATV,Refuse Truck
VEH,MAGNU,ATV,Refuse Truck
VEH,BLAR,ATV,Refuse Truck
VEH,WH,ATV,Refuse Truck
VEH,MECUR,4DSD,Combination Long-haul Truck
VEH,VOLVO,TANK,Other Buses
VEH,VOLVO,UTIL,Transit Bus
VEH,VOLVO,FIRE,Light Commercial Truck
VEH,VOLVO,STAK,Combination Long-haul Truck
VEH,VOLVO,DELV,Combination Long-haul Truck
VEH,VOLVO,FLAT,Combination Short-haul Truck
VEH,VOLVO,VAN,Motor Home
VEH,VOLVO,DUMP,School Bus
VEH,VOLVO,TRAC,Passenger Car
VEH,VOLVO,REFG,Refuse Truck
VEH,VOLVO,TR/C,Refuse Truck
VEH,VOLV,DUMP,School Bus
VEH,VOLVO,TOW,Transit Bus
VEH,VOLOV,UTIL,Transit Bus
VEH,VOLVO,H/WH,Motor Home
VEH,SHOW,H/WH,Motor Home
VEH,VOLO,REFG,Refuse Truck
VEH,VOVLV,DUMP,School Bus
VEH,VOLVI,DUMP,School Bus
VEH,VOL,DUMP,School Bus
VEH,VOVLO,DUMP,School Bus
VEH,VOLVO,CMIX,Passenger Truck
VEH,VOLOV,DUMP,School Bus
VEH,VOLVO,T/CR,Single Unit Short-haul Truck
VEH,VOLVO,R/RD,Passenger Truck
VEH,VOLV,UTIL,Transit Bus
VEH,VOLKS,TANK,Other Buses
VEH,VOLVO,PICK,Passenger Truck
VEH,VHD,FLAT,Combination Short-haul Truck
VEH,VOLV,FLAT,Combination Short-haul Truck
VEH,VOLVO,SN/P,Other Buses
VEH,VOLVO,FPM,School Bus
VEH,VOLVO,W/SR,Transit Bus
VEH,VOLVO,W/DR,Single Unit Short-haul Truck
VEH,VOLKS,DUMP,School Bus
VEH,WH/GM,TRAC,Passenger Car
VEH,WH/GM,DUMP,School Bus
VEH,WH/GM,UTIL,Transit Bus
VEH,WHITE,UTIL,Transit Bus
VEH,WHIT,RBM,Single Unit Short-haul Truck
VEH,WHITE,W/SR,Transit Bus
VEH,WH/GM,TANK,Other Buses
VEH,WHITE,STAK,Combination Long-haul Truck
VEH,WHITE,FLAT,Combination Short-haul Truck
VEH,WHGMC,DUMP,School Bus
VEH,WH/GM,CMIX,Passenger Truck
VEH,WH/GM,EMVR,Passenger Car
VEH,WH/GM,STAK,Combination Long-haul Truck
VEH,MHGM,DUMP,School Bus
VEH,WH/GM,FLAT,Combination Short-haul Truck
VEH,GMC,TANK,Other Buses
VEH,WHITE,VAN,Motor Home
VEH,WHI,TRAC,Passenger Car
VEH,GMC,RBM,Single Unit Short-haul Truck
VEH,WHI,TANK,Other Buses
VEH,WHGM,DUMP,School Bus
VEH,WHITE,T/CR,Single Unit Short-haul Truck
VEH,WH,DUMP,School Bus
VEH,WH/FR,DUMP,School Bus
VEH,WGM,DUMP,School Bus
VEH,WH/GM,TR/C,Refuse Truck
VEH,WH/GM,W/SR,Transit Bus
VEH,WH/GM,T/CR,Single Unit Short-haul Truck
VEH,WHI,DUMP,School Bus
VEH,WHITE,RD/S,School Bus
VEH,WHITE,W/DR,Single Unit Short-haul Truck
VEH,GM/VO,TANK,Other Buses
VEH,GMC,TRAC,Passenger Car
VEH,WH/GM,H/WH,Motor Home
VEH,WHGMC,TRAC,Passenger Car
VEH,AMER,H/WH,Motor Home
VEH,ENTEG,H/WH,Motor Home
VEH,ESSX,H/WH,Motor Home
VEH,ENTG,H/WH,Motor Home
VEH,HER,H/WH,Motor Home
VEH,NWMR,H/WH,Motor Home
VEH,CORNE,H/WH,Motor Home
VEH,NWMC,H/WH,Motor Home
VEH,MNAI,H/WH,Motor Home
VEH,JAYCO,H/WH,Motor Home
VEH,SPART,UTIL,Transit Bus
VEH,SPART,H/WH,Motor Home
VEH,SPART,BUS,Passenger Car
VEH,CA/IN,VAN,Motor Home
VEH,EMBAR,H/WH,Motor Home
VEH,PROVI,H/WH,Motor Home
VEH,VENTA,H/WH,Motor Home
VEH,DISCO,H/WH,Motor Home
VEH,FRHT,H/WH,Motor Home
VEH,TR/SU,H/WH,Motor Home
VEH,TRAVE,H/WH,Motor Home
VEH,NEMR,H/WH,Motor Home
VEH,CLIPP,H/WH,Motor Home
VEH,ROSEA,H/WH,Motor Home
VEH,MARLI,H/WH,Motor Home
VEH,NUMR,H/WH,Motor Home
VEH,DUTCH,H/WH,Motor Home
VEH,ACOA,H/WH,Motor Home
VEH,AM/CO,H/WH,Motor Home
VEH,AMCC,H/WH,Motor Home
VEH,ASPIR,H/WH,Motor Home
VEH,ANTHE,H/WH,Motor Home
VEH,SPTN,H/WH,Motor Home
VEH,ASIRE,H/WH,Motor Home
VEH,ENTER,H/WH,Motor Home
VEH,REVOL,H/WH,Motor Home
VEH,AM/EA,H/WH,Motor Home
VEH,TIFFA,H/WH,Motor Home
VEH,AM/RE,H/WH,Motor Home
VEH,MOUA,H/WH,Motor Home
VEH,ALLG,H/WH,Motor Home
VEH,MO/AR,H/WH,Motor Home
VEH,SP/MO,H/WH,Motor Home
VEH,EAGLE,H/WH,Motor Home
VEH,AMR,H/WH,Motor Home
VEH,NEWM,H/WH,Motor Home
VEH,ALLST,H/WH,Motor Home
VEH,SPT,H/WH,Motor Home
VEH,REVO,H/WH,Motor Home
VEH,AMET,H/WH,Motor Home
VEH,AM/TR,H/WH,Motor Home
VEH,ULTIM,H/WH,Motor Home
VEH,AE/WI,H/WH,Motor Home
VEH,OVERL,H/WH,Motor Home
VEH,GFST,H/WH,Motor Home
VEH,ESCAP,H/WH,Motor Home
VEH,DTCH,H/WH,Motor Home
VEH,DUTS,H/WH,Motor Home
VEH,AMDR,H/WH,Motor Home
VEH,ESCA,H/WH,Motor Home
VEH,AMED,H/WH,Motor Home
VEH,FT/WD,H/WH,Motor Home
VEH,FLEET,H/TR,Light Commercial Truck
VEH,MNTN,H/WH,Motor Home
VEH,KOUN,H/WH,Motor Home
VEH,MTAE,H/WH,Motor Home
VEH,NW/MR,H/WH,Motor Home
VEH,REXH,H/WH,Motor Home
VEH,DTCC,H/WH,Motor Home
VEH,JYAS,H/WH,Motor Home
VEH,JYAN,H/WH,Motor Home
VEH,INSIG,H/WH,Motor Home
VEH,EN/CO,H/WH,Motor Home
VEH,ENTE,H/WH,Motor Home
VEH,ZEPHY,H/WH,Motor Home
VEH,AM/HE,H/WH,Motor Home
VEH,VNTA,H/WH,Motor Home
VEH,NWNA,H/WH,Motor Home
VEH,SAPRT,H/WH,Motor Home
VEH,EGLE,H/WH,Motor Home
VEH,ESSEX,H/WH,Motor Home
VEH,VOLVO,S/SP,Combination Short-haul Truck
VEH,VOLV,RBM,Single Unit Short-haul Truck
VEH,VOL,FLAT,Combination Short-haul Truck
VEH,ISLN,H/WH,Motor Home
VEH,COCO,H/WH,Motor Home
VEH,CROWN,H/WH,Motor Home
VEH,COUCH,H/WH,Motor Home
VEH,INTRI,H/WH,Motor Home
VEH,FREIG,H/WH,Motor Home
VEH,TRAD,H/WH,Motor Home
VEH,TRADE,H/WH,Motor Home
VEH,NUMAR,H/WH,Motor Home
VEH,TR/WI,H/WH,Motor Home
VEH,VEC,H/WH,Motor Home
VEH,FRE,H/WH,Motor Home
VEH,BO/DI,H/WH,Motor Home
VEH,HORA,H/WH,Motor Home
VEH,HOLR,H/WH,Motor Home
VEH,VENTR,H/WH,Motor Home
VEH,DISV,H/WH,Motor Home
VEH,FL/DI,H/WH,Motor Home
VEH,FR/LI,H/WH,Motor Home
VEH,FRHI,H/WH,Motor Home
VEH,DISC,H/WH,Motor Home
VEH,ULTRA,H/WH,Motor Home
VEH,EXPED,H/WH,Motor Home
VEH,FLWD,H/WH,Motor Home
VEH,FWITT,H/WH,Motor Home
VEH,FREIG,BUS,Passenger Car
VEH,FREIG,SUBN,Combination Short-haul Truck
VEH,FREIG,VAN,Motor Home
VEH,FR/LI,BUS,Passenger Car
VEH,FEIGH,BUS,Passenger Car
VEH,LUXOR,H/WH,Motor Home
VEH,FREIG,DELV,Combination Long-haul Truck
VEH,FRGHT,VAN,Motor Home
VEH,WINOB,H/WH,Motor Home
VEH,LONDO,H/WH,Motor Home
VEH,NWLA,H/WH,Motor Home
VEH,BERKS,H/WH,Motor Home
VEH,FARBE,H/WH,Motor Home
VEH,VENET,H/WH,Motor Home
VEH,TUSCA,H/WH,Motor Home
VEH,FARBE,VAN,Motor Home
VEH,CHARL,H/WH,Motor Home
VEH,LUXUR,BUS,Passenger Car
VEH,THVN,H/WH,Motor Home
VEH,ARMAD,H/WH,Motor Home
VEH,MO/SI,H/WH,Motor Home
VEH,DI/LX,H/WH,Motor Home
VEH,AM/DR,H/WH,Motor Home
VEH,FATD,H/WH,Motor Home
VEH,MI/FU,VAN,Motor Home
VEH,MI/FU,DELV,Combination Long-haul Truck
VEH,MITSU,VAN,Motor Home
VEH,MI/FU,UTIL,Transit Bus
VEH,MITSU,DELV,Combination Long-haul Truck
VEH,MITSU,DUMP,School Bus
VEH,MITSU,FLAT,Combination Short-haul Truck
VEH,MI/FU,SEMI,Passenger Truck
VEH,MI/FU,FLAT,Combination Short-haul Truck
VEH,FUSO,VAN,Motor Home
VEH,MITSU,REFG,Refuse Truck
VEH,MI/FU,DUMP,School Bus
VEH,MITSU,STAK,Combination Long-haul Truck
VEH,MI/FU,STAK,Combination Long-haul Truck
VEH,MI/FI,DUMP,School Bus
VEH,MITSU,2DSD,Other Buses
VEH,MITS,DELV,Combination Long-haul Truck
VEH,MITSH,UTIL,Transit Bus
VEH,MI/FO,DELV,Combination Long-haul Truck
VEH,MITSU,UTIL,Transit Bus
VEH,MITSU,PICK,Passenger Truck
VEH,MIF,VAN,Motor Home
VEH,MITSY,VAN,Motor Home
VEH,MIFU,DELV,Combination Long-haul Truck
VEH,MITU,DELV,Combination Long-haul Truck
VEH,MITSH,DELV,Combination Long-haul Truck
VEH,MI/FU,REFG,Refuse Truck
VEH,FUSO,DUMP,School Bus
VEH,FRIEG,DELV,Combination Long-haul Truck
VEH,GRUMM,H/WH,Motor Home
VEH,FRTLI,DELV,Combination Long-haul Truck
VEH,FREIG,UTIL,Transit Bus
VEH,FR/LI,DELV,Combination Long-haul Truck
VEH,FR/LI,UTIL,Transit Bus
VEH,FRIEG,VAN,Motor Home
VEH,FR/LI,VAN,Motor Home
VEH,FREIG,PICK,Passenger Truck
VEH,MTNAI,H/WH,Motor Home
VEH,FTLN,VAN,Motor Home
VEH,FRIGH,VAN,Motor Home
VEH,FRT,VAN,Motor Home
VEH,FREGH,VAN,Motor Home
VEH,VAN,VAN,Motor Home
VEH,FCCC,DELV,Combination Long-haul Truck
VEH,FR/LI,TANK,Other Buses
VEH,FREI,TANK,Other Buses
VEH,VALEN,H/WH,Motor Home
VEH,ACCOL,H/WH,Motor Home
VEH,SENEC,H/WH,Motor Home
VEH,RENEG,H/WH,Motor Home
VEH,AVENG,H/WH,Motor Home
VEH,RE/VA,H/WH,Motor Home
VEH,JYSN,H/WH,Motor Home
VEH,PASD,H/WH,Motor Home
VEH,CH/DE,BUS,Passenger Car
VEH,DOUBL,H/WH,Motor Home
VEH,FCCC,VAN,Motor Home
VEH,FCCC,UTIL,Transit Bus
VEH,MOLSN,VAN,Motor Home
VEH,FRHTL,DELV,Combination Long-haul Truck
VEH,FRGTL,VAN,Motor Home
VEH,FREIH,VAN,Motor Home
VEH,FRTL,VAN,Motor Home
VEH,FREI,VAN,Motor Home
VEH,FREIG,SEMI,Passenger Truck
VEH,FRHT,2DSD,Other Buses
VEH,GREIG,DELV,Combination Long-haul Truck
VEH,FRIEG,UTIL,Transit Bus
VEH,FRHT,VAN,Motor Home
VEH,FREIG,CUST,School Bus
VEH,FREIF,DELV,Combination Long-haul Truck
VEH,FREIG,2DSD,Other Buses
VEH,UTILI,CUST,School Bus
VEH,FRIGH,DELV,Combination Long-haul Truck
VEH,FREI,DELV,Combination Long-haul Truck
VEH,FPRD,DELV,Combination Long-haul Truck
VEH,FR/TL,DELV,Combination Long-haul Truck
VEH,FRE,VAN,Motor Home
VEH,FREGI,VAN,Motor Home
VEH,GR/LI,DELV,Combination Long-haul Truck
VEH,FREOG,VAN,Motor Home
VEH,FRTLN,DELV,Combination Long-haul Truck
VEH,FREID,VAN,Motor Home
VEH,FREID,DELV,Combination Long-haul Truck
VEH,FRTL,DELV,Combination Long-haul Truck
VEH,FRHT,DELV,Combination Long-haul Truck
VEH,NAVIG,H/WH,Motor Home
VEH,FL/RI,H/WH,Motor Home
VEH,CA/ST,H/WH,Motor Home
VEH,MOBIL,H/WH,Motor Home
VEH,FORET,H/WH,Motor Home
VEH,CANY,H/WH,Motor Home
VEH,WAKAR,H/WH,Motor Home
VEH,FRGHT,H/WH,Motor Home
VEH,FARBE,H/TR,Light Commercial Truck
VEH,WACO,H/WH,Motor Home
VEH,NEXUS,H/WH,Motor Home
VEH,INFIN,H/WH,Motor Home
VEH,LDV,H/WH,Motor Home
VEH,FR/AL,H/WH,Motor Home
VEH,BYWA,H/WH,Motor Home
VEH,PALAZ,H/WH,Motor Home
VEH,FORST,H/WH,Motor Home
VEH,FORZA,H/WH,Motor Home
VEH,BYWAY,H/WH,Motor Home
VEH,FVTS,H/WH,Motor Home
VEH,LEGAC,H/WH,Motor Home
VEH,CR/CO,H/WH,Motor Home
VEH,AMBAS,H/WH,Motor Home
VEH,THMC,H/WH,Motor Home
VEH,HORIZ,H/WH,Motor Home
VEH,FL/EX,H/WH,Motor Home
VEH,EXCUR,H/WH,Motor Home
VEH,ALPHA,H/WH,Motor Home
VEH,AL/LE,H/WH,Motor Home
VEH,FP/RI,H/WH,Motor Home
VEH,ARIA,H/WH,Motor Home
VEH,NWKS,H/WH,Motor Home
VEH,NEMAR,H/WH,Motor Home
VEH,THORN,H/WH,Motor Home
VEH,VENT,H/WH,Motor Home
VEH,FARBE,BUS,Passenger Car
VEH,ALFA,H/WH,Motor Home
VEH,ALEGR,H/WH,Motor Home
VEH,ALEV,H/WH,Motor Home
VEH,REV,H/WH,Motor Home
VEH,FDSV,H/WH,Motor Home
VEH,ENDEA,H/WH,Motor Home
VEH,DIS,H/WH,Motor Home
VEH,ALLIE,H/WH,Motor Home
VEH,NE/AI,H/WH,Motor Home
VEH,SUNLI,BUS,Passenger Car
VEH,NAUTI,H/WH,Motor Home
VEH,NE/MA,H/WH,Motor Home
VEH,PATHF,H/WH,Motor Home
VEH,ASTOR,H/WH,Motor Home
VEH,SP/CO,H/WH,Motor Home
VEH,CROSS,H/WH,Motor Home
VEH,LUXUR,LIM,Combination Long-haul Truck
VEH,TOUM,H/WH,Motor Home
VEH,CCHMN,H/WH,Motor Home
VEH,AL/FA,H/WH,Motor Home
VEH,TROPI,H/WH,Motor Home
VEH,TRPI,H/WH,Motor Home
VEH,PACIF,H/WH,Motor Home
VEH,TUSC,H/WH,Motor Home
VEH,FORR,H/WH,Motor Home
VEH,SPOC,H/WH,Motor Home
VEH,DAYMA,H/WH,Motor Home
VEH,PHAEH,H/WH,Motor Home
VEH,HO/TO,BUS,Passenger Car
VEH,THOM,BUS,Passenger Car
VEH,THOMP,BUS,Passenger Car
VEH,THOMS,BUS,Passenger Car
VEH,THOSE,BUS,Passenger Car
VEH,THOMA,UTIL,Transit Bus
VEH,TOMAS,BUS,Passenger Car
VEH,TSUNA,H/WH,Motor Home
VEH,THOMA,VAN,Motor Home
VEH,THOAS,BUS,Passenger Car
VEH,FRTLN,BUS,Passenger Car
VEH,FRTLI,BUS,Passenger Car
VEH,FREIH,BUS,Passenger Car
VEH,FARBE,UTIL,Transit Bus
VEH,FRHTL,VAN,Motor Home
VEH,FRE,DELV,Combination Long-haul Truck
VEH,FREIH,DELV,Combination Long-haul Truck
VEH,FREIG,STAK,Combination Long-haul Truck
VEH,FREI,UTIL,Transit Bus
VEH,GREIG,VAN,Motor Home
VEH,UTILL,VAN,Motor Home
VEH,MORGA,VAN,Motor Home
VEH,MO/OL,DELV,Combination Long-haul Truck
VEH,FRHT,UTIL,Transit Bus
VEH,FREIG,REFG,Refuse Truck
VEH,FREGI,DELV,Combination Long-haul Truck
VEH,FT/LI,VAN,Motor Home
VEH,FT/LT,VAN,Motor Home
VEH,FRGHT,DELV,Combination Long-haul Truck
VEH,FREII,VAN,Motor Home
VEH,ULTIM,VAN,Motor Home
VEH,UTI,DELV,Combination Long-haul Truck
VEH,FREIG,LOCO,Combination Long-haul Truck
VEH,FREIT,DELV,Combination Long-haul Truck
VEH,TH/MO,H/WH,Motor Home
VEH,PARO,H/WH,Motor Home
VEH,PLZZ,H/WH,Motor Home
VEH,CRO,H/WH,Motor Home
VEH,WBSO,H/WH,Motor Home
VEH,CHEV,H/WH,Motor Home
VEH,REFLE,H/WH,Motor Home
VEH,NA/TR,H/WH,Motor Home
VEH,EXCU,H/WH,Motor Home
VEH,NATR,H/WH,Motor Home
VEH,TI/AL,H/WH,Motor Home
VEH,WINO,H/WH,Motor Home
VEH,KOST,H/WH,Motor Home
VEH,NWMAR,H/WH,Motor Home
VEH,FR/DI,H/WH,Motor Home
VEH,TR/CA,H/WH,Motor Home
VEH,MAND,H/WH,Motor Home
VEH,ALFAL,H/WH,Motor Home
VEH,GO/ST,H/WH,Motor Home
VEH,CCMN,H/WH,Motor Home
VEH,GO/BO,H/WH,Motor Home
VEH,CA/CA,BUS,Passenger Car
VEH,AT/CA,ATV,Refuse Truck
VEH,ARCT,ATV,Refuse Truck
VEH,ARCTI,ATV,Refuse Truck
VEH,TRACK,ATV,Refuse Truck
VEH,TEXTR,ATV,Refuse Truck
VEH,TEXT,ATV,Refuse Truck
VEH,TXTRO,ATV,Refuse Truck
VEH,TR/OF,ATV,Refuse Truck
VEH,TRAIL,ATV,Refuse Truck
VEH,TE/TR,ATV,Refuse Truck
VEH,TREXT,ATV,Refuse Truck
VEH,TEXTO,ATV,Refuse Truck
VEH,TEXTA,ATV,Refuse Truck
VEH,ALTER,ATV,Refuse Truck
VEH,TE/OF,ATV,Refuse Truck
VEH,TESTR,ATV,Refuse Truck
VEH,AC/CA,ATV,Refuse Truck
VEH,AR/TE,ATV,Refuse Truck
VEH,AR/VA,ATV,Refuse Truck
VEH,WILDC,ATV,Refuse Truck
VEH,TRV,ATV,Refuse Truck
VEH,ARCA,ATV,Refuse Truck
VEH,TETRO,ATV,Refuse Truck
VEH,ARTI,ATV,Refuse Truck
VEH,AR/CR,ATV,Refuse Truck
VEH,AR/AC,ATV,Refuse Truck
VEH,ARTCA,ATV,Refuse Truck
VEH,ART,ATV,Refuse Truck
VEH,ALCAT,ATV,Refuse Truck
VEH,AL/TE,ATV,Refuse Truck
VEH,ACTIC,ATV,Refuse Truck
VEH,ATRCI,ATV,Refuse Truck
VEH,ARCAT,ATV,Refuse Truck
VEH,ARTCT,ATV,Refuse Truck
VEH,AR/A,ATV,Refuse Truck
VEH,TARFO,MCY,Motorcycle
VEH,HO/FA,MCY,Motorcycle
VEH,TOYOT,TANK,Other Buses
VEH,JEEP,DELV,Combination Long-haul Truck
VEH,TOYTA,4DSD,Combination Long-haul Truck
VEH,CAMRY,4DSD,Combination Long-haul Truck
VEH,TOYTO,4DSD,Combination Long-haul Truck
VEH,YOTOY,4DSD,Combination Long-haul Truck
VEH,TOYOY,4DSD,Combination Long-haul Truck
VEH,TOYO,4DSD,Combination Long-haul Truck
VEH,TOYT,4DSD,Combination Long-haul Truck
VEH,TOYOA,4DSD,Combination Long-haul Truck
VEH,TOYOR,4DSD,Combination Long-haul Truck
VEH,TPYPT,4DSD,Combination Long-haul Truck
VEH,YOTOT,4DSD,Combination Long-haul Truck
VEH,TONOT,4DSD,Combination Long-haul Truck
VEH,SCORP,MCY,Motorcycle
VEH,SP/CU,MCY,Motorcycle
VEH,SULLI,MCY,Motorcycle
VEH,OSPRE,4DSD,Combination Long-haul Truck
VEH,OS/CU,2DSD,Other Buses
VEH,SU/CO,MCY,Motorcycle
VEH,STUN,MCY,Motorcycle
VEH,STUNT,MCY,Motorcycle
VEH,ST/RX,MCY,Motorcycle
VEH,USSM,MCY,Motorcycle
VEH,RENLI,2DSD,Other Buses
VEH,SHIFT,LSV,Motor Home
VEH,SCG,2DSD,Other Buses
VEH,SCG,CONV,Light Commercial Truck
VEH,SMW,MCY,Motorcycle
VEH,SNTP,MCY,Motorcycle
VEH,ST/SM,MCY,Motorcycle
VEH,SABER,MCY,Motorcycle
VEH,SPART,FIRE,Light Commercial Truck
VEH,SSK,MCY,Motorcycle
VEH,SLNYC,MCY,Motorcycle
VEH,EVI,FIRE,Light Commercial Truck
VEH,SMEAL,FIRE,Light Commercial Truck
VEH,SPAR,FIRE,Light Commercial Truck
VEH,ITNL,SUBN,Combination Short-haul Truck
VEH,MORBA,UTIL,Transit Bus
VEH,MORBA,FPM,School Bus
VEH,SC/CR,H/WH,Motor Home
VEH,SCENI,H/WH,Motor Home
VEH,FOUR,H/WH,Motor Home
VEH,SPART,TANK,Other Buses
VEH,ENCOU,H/WH,Motor Home
VEH,CRUIS,H/WH,Motor Home
VEH,EUROP,H/WH,Motor Home
VEH,NEWAR,H/WH,Motor Home
VEH,ROCKW,H/WH,Motor Home
VEH,HAWKI,H/WH,Motor Home
VEH,GWM,H/WH,Motor Home
VEH,BARTH,H/WH,Motor Home
VEH,SPART,CUST,School Bus
VEH,SPART,W/DR,Single Unit Short-haul Truck
VEH,TOYNE,FIRE,Light Commercial Truck
VEH,GENE,FIRE,Light Commercial Truck
VEH,FMC,UTIL,Transit Bus
VEH,FIRE,FIRE,Light Commercial Truck
VEH,SPART,TRAC,Passenger Car
VEH,SMEAR,FIRE,Light Commercial Truck
VEH,SPART,SUBN,Combination Short-haul Truck
VEH,SPART,4DSD,Combination Long-haul Truck
VEH,SPART,VAN,Motor Home
VEH,SPART,FLAT,Combination Short-haul Truck
VEH,SPANT,FIRE,Light Commercial Truck
VEH,EMERG,FIRE,Light Commercial Truck
VEH,SUBAR,SUBN,Combination Short-haul Truck
VEH,SUBAR,4DSD,Combination Long-haul Truck
VEH,SUBUR,SUBN,Combination Short-haul Truck
VEH,SUBAU,SUBN,Combination Short-haul Truck
VEH,SUBAR,SEDN,Single Unit Long-haul Truck
VEH,SUBAR,VAN,Motor Home
VEH,SUBAR,PICK,Passenger Truck
VEH,VW,SUBN,Combination Short-haul Truck
VEH,SUBA,SUBN,Combination Short-haul Truck
VEH,SUBAR,UTIL,Transit Bus
VEH,SUBRU,SUBN,Combination Short-haul Truck
VEH,SUBU,SUBN,Combination Short-haul Truck
VEH,SABUR,SUBN,Combination Short-haul Truck
VEH,SUBA,4DSD,Combination Long-haul Truck
VEH,SUBR,4DSD,Combination Long-haul Truck
VEH,SUBRA,4DSD,Combination Long-haul Truck
VEH,SUABR,4DSD,Combination Long-haul Truck
VEH,ISUZU,4DSD,Combination Long-haul Truck
VEH,HARNE,H/WH,Motor Home
VEH,RIATA,H/WH,Motor Home
VEH,BEAVR,H/WH,Motor Home
VEH,PATRI,H/WH,Motor Home
VEH,MA/SA,H/WH,Motor Home
VEH,GRAMM,PICK,Passenger Truck
VEH,BUICK,LOCO,Combination Long-haul Truck
VEH,NOVA,BUS,Passenger Car
VEH,NO/BU,BUS,Passenger Car
VEH,NAVA,BUS,Passenger Car
VEH,NOVAB,BUS,Passenger Car
VEH,NOV,BUS,Passenger Car
VEH,NOVBA,BUS,Passenger Car
VEH,VOVA,BUS,Passenger Car
VEH,NOVB,BUS,Passenger Car
VEH,WH,BUS,Passenger Car
VEH,RTS,BUS,Passenger Car
VEH,RTS,H/WH,Motor Home
VEH,RSD,BUS,Passenger Car
VEH,RTD,BUS,Passenger Car
VEH,NOVB,H/WH,Motor Home
VEH,PREVO,BUS,Passenger Car
VEH,PROVS,BUS,Passenger Car
VEH,NOVA,H/WH,Motor Home
VEH,BUI,CONV,Light Commercial Truck
VEH,PIERC,FIRE,Light Commercial Truck
VEH,PIERC,TANK,Other Buses
VEH,PIERC,UTIL,Transit Bus
VEH,PIER,FIRE,Light Commercial Truck
VEH,PIIER,FIRE,Light Commercial Truck
VEH,PIERC,H/WH,Motor Home
VEH,LANCE,FIRE,Light Commercial Truck
VEH,OTHER,FIRE,Light Commercial Truck
VEH,MERCU,VAN,Motor Home
VEH,MERUC,SUBN,Combination Short-haul Truck
VEH,MECUR,SUBN,Combination Short-haul Truck
VEH,BUEL,MCY,Motorcycle
VEH,XBS,MCY,Motorcycle
VEH,BLAST,MCY,Motorcycle
VEH,BUE,MCY,Motorcycle
VEH,ATK,MCY,Motorcycle
VEH,JEEP,W/DR,Single Unit Short-haul Truck
VEH,KAIS,STAK,Combination Long-haul Truck
VEH,CAPA,TRAC,Passenger Car
